Crop and MarinePlant SubClassOf Arthropod, True
SlimeMold SubClassOf Amphibian and Animal and Bird and Canopy and Crown and Crustacean and Diatom and DominantSpecies and ExoticSpecies and Fern and Flatworm and Foraminifer and Fungi and Human and Lichen and Litter and Liverwort and Livestock and LivingThing and Macroalgae and Macrophyte and MarineAnimal and MarineMammal and MarineMicrobiota and MarinePlant and Microalgae and Microphyte and Moss and Plankton and Pollen and Poultry and Radiolarian and Sponge and Vegetation and VegetationCover and VegetationSpecies and Vertebrate, \nTrue
SlimeMold SubClassOf Jellyfish, True
SlimeMold SubClassOf Amphibian and Animal and Bird and Canopy and Crown and Crustacean and Diatom and DominantSpecies and ExoticSpecies and Fern and Flatworm and Foraminifer and Fungi and Human and Jellyfish and Lichen and Litter and Liverwort and Livestock and LivingThing and Macroalgae and Macrophyte and MarineAnimal and MarineMammal and MarineMicrobiota and MarinePlant and Microalgae and Microphyte and Moss and Plankton and Pollen and Poultry and Radiolarian and Sponge and Vegetation and VegetationCover and VegetationSpecies and Vertebrate, True or
SlimeMold SubClassOf Invertebrate, True
SlimeMold SubClassOf Amphibian and Animal and Bird and Canopy and Crown and Crustacean and Diatom and DominantSpecies and ExoticSpecies and Fern and Flatworm and Foraminifer and Fungi and Human and Invertebrate and Lichen and Litter and Liverwort and Livestock and LivingThing and Macroalgae and Macrophyte and MarineAnimal and MarineMammal and MarineMicrobiota and MarinePlant and Microalgae and Microphyte and Moss and Plankton and Pollen and Poultry and Radiolarian and Sponge and Vegetation and VegetationCover and VegetationSpecies and Vertebrate, \nTrue
SlimeMold SubClassOf Anemone, True
SlimeMold SubClassOf Amphibian and Anemone and Animal and Bird and Canopy and Crown and Crustacean and Diatom and DominantSpecies and ExoticSpecies and Fern and Flatworm and Foraminifer and Fungi and Human and Invertebrate and Lichen and Litter and Liverwort and Livestock and LivingThing and Macroalgae and Macrophyte and MarineAnimal and MarineMammal and MarineMicrobiota and MarinePlant and Microalgae and Microphyte and Moss and Plankton and Pollen and Poultry and Radiolarian and Sponge and Vegetation and VegetationCover and VegetationSpecies and Vertebrate, Here are
SlimeMold SubClassOf Ciliate, True
SlimeMold SubClassOf Amphibian and Animal and Bird and Canopy and Ciliate and Crown and Crustacean and Diatom and DominantSpecies and ExoticSpecies and Fern and Flatworm and Foraminifer and Fungi and Human and Invertebrate and Lichen and Litter and Liverwort and Livestock and LivingThing and Macroalgae and Macrophyte and MarineAnimal and MarineMammal and MarineMicrobiota and MarinePlant and Microalgae and Microphyte and Moss and Plankton and Pollen and Poultry and Radiolarian and Sponge and Vegetation and VegetationCover and VegetationSpecies and Vertebrate, Here are
SlimeMold SubClassOf Zooplankton, True
SlimeMold SubClassOf Amphibian and Animal and Bird and Canopy and Crown and Crustacean and Diatom and DominantSpecies and ExoticSpecies and Fern and Flatworm and Foraminifer and Fungi and Human and Invertebrate and Lichen and Litter and Liverwort and Livestock and LivingThing and Macroalgae and Macrophyte and MarineAnimal and MarineMammal and MarineMicrobiota and MarinePlant and Microalgae and Microphyte and Moss and Plankton and Pollen and Poultry and Radiolarian and Sponge and Vegetation and VegetationCover and VegetationSpecies and Vertebrate and Zooplankton, \nTrue
SlimeMold SubClassOf FloweringPlant, False
SlimeMold SubClassOf Sporozoan, True
SlimeMold SubClassOf Amphibian and Animal and Bird and Canopy and Crown and Crustacean and Diatom and DominantSpecies and ExoticSpecies and Fern and Flatworm and Foraminifer and Fungi and Human and Invertebrate and Lichen and Litter and Liverwort and Livestock and LivingThing and Macroalgae and Macrophyte and MarineAnimal and MarineMammal and MarineMicrobiota and MarinePlant and Microalgae and Microphyte and Moss and Plankton and Pollen and Poultry and Radiolarian and Sponge and Sporozoan and Vegetation and VegetationCover and VegetationSpecies and Vertebrate and Zooplankton, True or
SlimeMold SubClassOf IndigenousVegetation, True
SlimeMold SubClassOf Amphibian and Animal and Bird and Canopy and Crown and Crustacean and Diatom and DominantSpecies and ExoticSpecies and Fern and Flatworm and Foraminifer and Fungi and Human and IndigenousVegetation and Invertebrate and Lichen and Litter and Liverwort and Livestock and LivingThing and Macroalgae and Macrophyte and MarineAnimal and MarineMammal and MarineMicrobiota and MarinePlant and Microalgae and Microphyte and Moss and Plankton and Pollen and Poultry and Radiolarian and Sponge and Vegetation and VegetationCover and VegetationSpecies and Vertebrate and Zooplankton, \nTrue
SlimeMold SubClassOf Nutrient, True
SlimeMold SubClassOf Amphibian and Animal and Bird and Canopy and Crown and Crustacean and Diatom and DominantSpecies and ExoticSpecies and Fern and Flatworm and Foraminifer and Fungi and Human and IndigenousVegetation and Invertebrate and Lichen and Litter and Liverwort and Livestock and LivingThing and Macroalgae and Macrophyte and MarineAnimal and MarineMammal and MarineMicrobiota and MarinePlant and Microalgae and Microphyte and Moss and Nutrient and Plankton and Pollen and Poultry and Radiolarian and Sponge and Vegetation and VegetationCover and VegetationSpecies and Vertebrate and Zooplankton, \nTrue
SlimeMold SubClassOf IndigenousSpecies, True
SlimeMold SubClassOf Amphibian and Animal and Bird and Canopy and Crown and Crustacean and Diatom and DominantSpecies and ExoticSpecies and Fern and Flatworm and Foraminifer and Fungi and Human and IndigenousSpecies and IndigenousVegetation and Invertebrate and Lichen and Litter and Liverwort and Livestock and LivingThing and Macroalgae and Macrophyte and MarineAnimal and MarineMammal and MarineMicrobiota and MarinePlant and Microalgae and Microphyte and Moss and Nutrient and Plankton and Pollen and Poultry and Radiolarian and Sponge and Vegetation and VegetationCover and VegetationSpecies and Vertebrate and Zooplankton, \nTrue
SlimeMold SubClassOf MarineInvertebrate, True
SlimeMold SubClassOf Amphibian and Animal and Bird and Canopy and Crown and Crustacean and Diatom and DominantSpecies and ExoticSpecies and Fern and Flatworm and Foraminifer and Fungi and Human and IndigenousSpecies and IndigenousVegetation and Invertebrate and Lichen and Litter and Liverwort and Livestock and LivingThing and Macroalgae and Macrophyte and MarineAnimal and MarineInvertebrate and MarineMammal and MarineMicrobiota and MarinePlant and Microalgae and Microphyte and Moss and Nutrient and Plankton and Pollen and Poultry and Radiolarian and Sponge and Vegetation and VegetationCover and VegetationSpecies and Vertebrate and Zooplankton, True:
SlimeMold SubClassOf Conifer, \nFalse
SlimeMold SubClassOf Yeast, True
SlimeMold SubClassOf Amphibian and Animal and Bird and Canopy and Crown and Crustacean and Diatom and DominantSpecies and ExoticSpecies and Fern and Flatworm and Foraminifer and Fungi and Human and IndigenousSpecies and IndigenousVegetation and Invertebrate and Lichen and Litter and Liverwort and Livestock and LivingThing and Macroalgae and Macrophyte and MarineAnimal and MarineMammal and MarineMicrobiota and MarinePlant and Microalgae and Microphyte and Moss and Nutrient and Plankton and Pollen and Poultry and Radiolarian and Sponge and Vegetation and VegetationCover and VegetationSpecies and Vertebrate and Yeast and Zooplankton, \nTrue
SlimeMold SubClassOf Mammal, True
SlimeMold SubClassOf Amphibian and Animal and Bird and Canopy and Crown and Crustacean and Diatom and DominantSpecies and ExoticSpecies and Fern and Flatworm and Foraminifer and Fungi and Human and IndigenousSpecies and IndigenousVegetation and Invertebrate and Lichen and Litter and Liverwort and Livestock and LivingThing and Macroalgae and Macrophyte and Mammal and MarineAnimal and MarineMammal and MarineMicrobiota and MarinePlant and Microalgae and Microphyte and Moss and Nutrient and Plankton and Pollen and Poultry and Radiolarian and Sponge and Vegetation and VegetationCover and VegetationSpecies and Vertebrate and Yeast and Zooplankton, \nTrue
SlimeMold SubClassOf Protist, True
SlimeMold SubClassOf Amphibian and Animal and Bird and Canopy and Crown and Crustacean and Diatom and DominantSpecies and ExoticSpecies and Fern and Flatworm and Foraminifer and Fungi and Human and IndigenousSpecies and IndigenousVegetation and Invertebrate and Lichen and Litter and Liverwort and Livestock and LivingThing and Macroalgae and Macrophyte and Mammal and MarineAnimal and MarineMammal and MarineMicrobiota and MarinePlant and Microalgae and Microphyte and Moss and Nutrient and Plankton and Pollen and Poultry and Protist and Radiolarian and Sponge and Vegetation and VegetationCover and VegetationSpecies and Vertebrate and Yeast and Zooplankton, \nTrue
SlimeMold SubClassOf Centipede, True
SlimeMold SubClassOf Amphibian and Animal and Bird and Canopy and Centipede and Crown and Crustacean and Diatom and DominantSpecies and ExoticSpecies and Fern and Flatworm and Foraminifer and Fungi and Human and IndigenousSpecies and IndigenousVegetation and Invertebrate and Lichen and Litter and Liverwort and Livestock and LivingThing and Macroalgae and Macrophyte and Mammal and MarineAnimal and MarineMammal and MarineMicrobiota and MarinePlant and Microalgae and Microphyte and Moss and Nutrient and Plankton and Pollen and Poultry and Protist and Radiolarian and Sponge and Vegetation and VegetationCover and VegetationSpecies and Vertebrate and Yeast and Zooplankton, \nTrue
SlimeMold SubClassOf Crop, True
SlimeMold SubClassOf Amphibian and Animal and Bird and Canopy and Centipede and Crop and Crown and Crustacean and Diatom and DominantSpecies and ExoticSpecies and Fern and Flatworm and Foraminifer and Fungi and Human and IndigenousSpecies and IndigenousVegetation and Invertebrate and Lichen and Litter and Liverwort and Livestock and LivingThing and Macroalgae and Macrophyte and Mammal and MarineAnimal and MarineMammal and MarineMicrobiota and MarinePlant and Microalgae and Microphyte and Moss and Nutrient and Plankton and Pollen and Poultry and Protist and Radiolarian and Sponge and Vegetation and VegetationCover and VegetationSpecies and Vertebrate and Yeast and Zooplankton, \nTrue
SlimeMold SubClassOf Algae, True
SlimeMold SubClassOf Algae and Amphibian and Animal and Bird and Canopy and Centipede and Crop and Crown and Crustacean and Diatom and DominantSpecies and ExoticSpecies and Fern and Flatworm and Foraminifer and Fungi and Human and IndigenousSpecies and IndigenousVegetation and Invertebrate and Lichen and Litter and Liverwort and Livestock and LivingThing and Macroalgae and Macrophyte and Mammal and MarineAnimal and MarineMammal and MarineMicrobiota and MarinePlant and Microalgae and Microphyte and Moss and Nutrient and Plankton and Pollen and Poultry and Protist and Radiolarian and Sponge and Vegetation and VegetationCover and VegetationSpecies and Vertebrate and Yeast and Zooplankton, \nTrue
SlimeMold SubClassOf Arthropod, True
SlimeMold SubClassOf Algae and Amphibian and Animal and Arthropod and Bird and Canopy and Centipede and Crop and Crown and Crustacean and Diatom and DominantSpecies and ExoticSpecies and Fern and Flatworm and Foraminifer and Fungi and Human and IndigenousSpecies and IndigenousVegetation and Invertebrate and Lichen and Litter and Liverwort and Livestock and LivingThing and Macroalgae and Macrophyte and Mammal and MarineAnimal and MarineMammal and MarineMicrobiota and MarinePlant and Microalgae and Microphyte and Moss and Nutrient and Plankton and Pollen and Poultry and Protist and Radiolarian and Sponge and Vegetation and VegetationCover and VegetationSpecies and Vertebrate and Yeast and Zooplankton, \nTrue
SlimeMold SubClassOf MarineBird, \nFalse
SlimeMold SubClassOf Chlorophyll, False
SlimeMold SubClassOf Mollusk, True
SlimeMold SubClassOf Algae and Amphibian and Animal and Arthropod and Bird and Canopy and Centipede and Crop and Crown and Crustacean and Diatom and DominantSpecies and ExoticSpecies and Fern and Flatworm and Foraminifer and Fungi and Human and IndigenousSpecies and IndigenousVegetation and Invertebrate and Lichen and Litter and Liverwort and Livestock and LivingThing and Macroalgae and Macrophyte and Mammal and MarineAnimal and MarineMammal and MarineMicrobiota and MarinePlant and Microalgae and Microphyte and Mollusk and Moss and Nutrient and Plankton and Pollen and Poultry and Protist and Radiolarian and Sponge and Vegetation and VegetationCover and VegetationSpecies and Vertebrate and Yeast and Zooplankton, Here are
SlimeMold SubClassOf Echinoderm, \nFalse
SlimeMold SubClassOf Plant, True
SlimeMold SubClassOf Algae and Amphibian and Animal and Arthropod and Bird and Canopy and Centipede and Crop and Crown and Crustacean and Diatom and DominantSpecies and ExoticSpecies and Fern and Flatworm and Foraminifer and Fungi and Human and IndigenousSpecies and IndigenousVegetation and Invertebrate and Lichen and Litter and Liverwort and Livestock and LivingThing and Macroalgae and Macrophyte and Mammal and MarineAnimal and MarineMammal and MarineMicrobiota and MarinePlant and Microalgae and Microphyte and Moss and Nutrient and Plankton and Plant and Pollen and Poultry and Protist and Radiolarian and Sponge and Vegetation and VegetationCover and VegetationSpecies and Vertebrate and Yeast and Zooplankton, \nTrue
SlimeMold SubClassOf Amoebae, True
SlimeMold SubClassOf Algae and Amoebae and Amphibian and Animal and Arthropod and Bird and Canopy and Centipede and Crop and Crown and Crustacean and Diatom and DominantSpecies and ExoticSpecies and Fern and Flatworm and Foraminifer and Fungi and Human and IndigenousSpecies and IndigenousVegetation and Invertebrate and Lichen and Litter and Liverwort and Livestock and LivingThing and Macroalgae and Macrophyte and Mammal and MarineAnimal and MarineMammal and MarineMicrobiota and MarinePlant and Microalgae and Microphyte and Moss and Nutrient and Plankton and Plant and Pollen and Poultry and Protist and Radiolarian and Sponge and Vegetation and VegetationCover and VegetationSpecies and Vertebrate and Yeast and Zooplankton, True or
