Neuron and StructuralCell SubClassOf Erythrocyte, True
Can MioBlast be considered a subcategory of 'PlantCell that is also SclerenchymaCell'?, True
Can MioBlast be considered a subcategory of 'CellByClass'?, True
Can MioBlast be considered a subcategory of 'CellByClass that is also PlantCell that is also SclerenchymaCell'?, \nFalse
Can MioBlast be considered a subcategory of 'MatureCell'?, \nFalse
Can MioBlast be considered a subcategory of 'AnimalCell'?, False
Can MioBlast be considered a subcategory of 'Cell'?, True
Can MioBlast be considered a subcategory of 'Cell that is also PlantCell that is also SclerenchymaCell'?, True
Can MioBlast be considered a subcategory of 'Miocyte'?, \nFalse
Can MioBlast be considered a subcategory of 'InMatureCell'?, \nTrue
Can MioBlast be considered a subcategory of 'Cell that is also InMatureCell that is also PlantCell that is also SclerenchymaCell'?, \nFalse
Can MioBlast be considered a subcategory of 'Osteocyte'?, True
Can MioBlast be considered a subcategory of 'Cell that is also Osteocyte that is also PlantCell that is also SclerenchymaCell'?, False
Can MioBlast be considered a subcategory of 'ChondroBlast'?, True
Can MioBlast be considered a subcategory of 'Cell that is also ChondroBlast that is also PlantCell that is also SclerenchymaCell'?, \nFalse
Can MioBlast be considered a subcategory of 'CellByDevelopmentStage'?, \nFalse
Can MioBlast be considered a subcategory of 'PhotoreceptorCell'?, True
Can MioBlast be considered a subcategory of 'Cell that is also PhotoreceptorCell that is also PlantCell that is also SclerenchymaCell'?, False
Can MioBlast be considered a subcategory of 'CellByOrganism'?, False
Can MioBlast be considered a subcategory of 'ElectricallyActiveCell'?, True
Can MioBlast be considered a subcategory of 'Cell that is also ElectricallyActiveCell that is also PlantCell that is also SclerenchymaCell'?, \nFalse
Can MioBlast be considered a subcategory of 'StructuralCell'?, \nFalse
Can MioBlast be considered a subcategory of 'Neuron'?, True
Can MioBlast be considered a subcategory of 'Cell that is also Neuron that is also PlantCell that is also SclerenchymaCell'?, \nFalse
Can MioBlast be considered a subcategory of 'ChondroCyte'?, True
Can MioBlast be considered a subcategory of 'Cell that is also ChondroCyte that is also PlantCell that is also SclerenchymaCell'?, \nFalse
Can MioBlast be considered a subcategory of 'Cell that is also Erythrocyte that is also PlantCell that is also SclerenchymaCell'?, True
Can MioBlast be considered a subcategory of 'Cell that is also CellByClass that is also Erythrocyte that is also PlantCell that is also SclerenchymaCell'?, True
Can MioBlast be considered a subcategory of 'Cell that is also CellByClass that is also Erythrocyte that is also InMatureCell that is also PlantCell that is also SclerenchymaCell'?, \nFalse
Can MioBlast be considered a subcategory of 'Cell that is also CellByClass that is also Erythrocyte that is also Osteocyte that is also PlantCell that is also SclerenchymaCell'?, True
Can MioBlast be considered a subcategory of 'Cell that is also CellByClass that is also ChondroBlast that is also Erythrocyte that is also Osteocyte that is also PlantCell that is also SclerenchymaCell'?, True
Can MioBlast be considered a subcategory of 'Cell that is also CellByClass that is also ChondroBlast that is also Erythrocyte that is also Osteocyte that is also PhotoreceptorCell that is also PlantCell that is also SclerenchymaCell'?, \nFalse
Can MioBlast be considered a subcategory of 'Cell that is also CellByClass that is also ChondroBlast that is also ElectricallyActiveCell that is also Erythrocyte that is also Osteocyte that is also PlantCell that is also SclerenchymaCell'?, True
Can MioBlast be considered a subcategory of 'Cell that is also CellByClass that is also ChondroBlast that is also ElectricallyActiveCell that is also Erythrocyte that is also Neuron that is also Osteocyte that is also PlantCell that is also SclerenchymaCell'?, False.
Can MioBlast be considered a subcategory of 'Cell that is also CellByClass that is also ChondroBlast that is also ChondroCyte that is also ElectricallyActiveCell that is also Erythrocyte that is also Osteocyte that is also PlantCell that is also SclerenchymaCell'?, False.
Can ChondroBlast that is also ElectricallyActiveCell be considered a subcategory of 'Miocyte'?, True
Can ChondroBlast that is also ElectricallyActiveCell be considered a subcategory of 'SclerenchymaCell'?, \nFalse
Can ChondroBlast that is also ElectricallyActiveCell be considered a subcategory of 'LeafCell'?, False
Can ChondroBlast that is also ElectricallyActiveCell be considered a subcategory of 'Erythrocyte'?, True
Can ChondroBlast be considered a subcategory of 'Erythrocyte'?, False
Can ElectricallyActiveCell be considered a subcategory of 'Erythrocyte'?, True
Can ElectricallyActiveCell be considered a subcategory of 'SclerenchymaCell'?, True
Can ElectricallyActiveCell be considered a subcategory of 'Erythrocyte that is also SclerenchymaCell'?, \nFalse
Can ElectricallyActiveCell be considered a subcategory of 'PhotosyntheticCell'?, True
Can ElectricallyActiveCell be considered a subcategory of 'Erythrocyte that is also PhotosyntheticCell'?, \nFalse
Can ElectricallyActiveCell be considered a subcategory of 'CirculatingCell'?, \nFalse
Can ElectricallyActiveCell be considered a subcategory of 'PlantCell'?, \nFalse
Can ElectricallyActiveCell be considered a subcategory of 'CellByClass'?, \nFalse
Can ElectricallyActiveCell be considered a subcategory of 'MatureCell'?, \nFalse
Can ElectricallyActiveCell be considered a subcategory of 'AnimalCell'?, \nFalse
Can ElectricallyActiveCell be considered a subcategory of 'Cell'?, True
Can ElectricallyActiveCell be considered a subcategory of 'Cell that is also Erythrocyte'?, False
Can ElectricallyActiveCell be considered a subcategory of 'Miocyte'?, \nFalse
Can ElectricallyActiveCell be considered a subcategory of 'InMatureCell'?, True
Can ElectricallyActiveCell be considered a subcategory of 'Erythrocyte that is also InMatureCell'?, True
Can ElectricallyActiveCell be considered a subcategory of 'Osteocyte'?, True
Can ElectricallyActiveCell be considered a subcategory of 'Erythrocyte that is also InMatureCell that is also Osteocyte'?, \nFalse
Can ElectricallyActiveCell be considered a subcategory of 'ChondroBlast'?, \nFalse
Can ElectricallyActiveCell be considered a subcategory of 'MioBlast'?, True
Can ElectricallyActiveCell be considered a subcategory of 'Erythrocyte that is also InMatureCell that is also MioBlast'?, True
Can ElectricallyActiveCell be considered a subcategory of 'CellByDevelopmentStage'?, True
Can ElectricallyActiveCell be considered a subcategory of 'CellByDevelopmentStage that is also Erythrocyte that is also InMatureCell that is also MioBlast'?, \nFalse
Can ElectricallyActiveCell be considered a subcategory of 'PhotoreceptorCell'?, \nFalse
Can ElectricallyActiveCell be considered a subcategory of 'CellByOrganism'?, True
Can ElectricallyActiveCell be considered a subcategory of 'CellByOrganism that is also Erythrocyte that is also InMatureCell that is also MioBlast'?, \nFalse
Can ElectricallyActiveCell be considered a subcategory of 'StructuralCell'?, True
Can ElectricallyActiveCell be considered a subcategory of 'Erythrocyte that is also InMatureCell that is also MioBlast that is also StructuralCell'?, False
Can ElectricallyActiveCell be considered a subcategory of 'Neuron'?, \nFalse
Can ElectricallyActiveCell be considered a subcategory of 'ChondroCyte'?, \nFalse
Can ElectricallyActiveCell be considered a subcategory of 'Erythrocyte that is also InMatureCell that is also MioBlast that is also SclerenchymaCell'?, True
Can ElectricallyActiveCell be considered a subcategory of 'Erythrocyte that is also InMatureCell that is also MioBlast that is also PhotosyntheticCell that is also SclerenchymaCell'?, \nFalse
Can ElectricallyActiveCell be considered a subcategory of 'Cell that is also Erythrocyte that is also InMatureCell that is also MioBlast that is also SclerenchymaCell'?, \nFalse
Can ElectricallyActiveCell be considered a subcategory of 'Erythrocyte that is also InMatureCell that is also MioBlast that is also Osteocyte that is also SclerenchymaCell'?, \nFalse
Can ElectricallyActiveCell be considered a subcategory of 'CellByDevelopmentStage that is also Erythrocyte that is also InMatureCell that is also MioBlast that is also SclerenchymaCell'?, \nFalse
Can ElectricallyActiveCell be considered a subcategory of 'CellByOrganism that is also Erythrocyte that is also InMatureCell that is also MioBlast that is also SclerenchymaCell'?, \nFalse
Can ElectricallyActiveCell be considered a subcategory of 'Erythrocyte that is also InMatureCell that is also MioBlast that is also SclerenchymaCell that is also StructuralCell'?, \nFalse
Can CellByDevelopmentStage that is also CirculatingCell be considered a subcategory of 'ChondroBlast'?, True
Can CellByDevelopmentStage that is also CirculatingCell be considered a subcategory of 'SclerenchymaCell'?, True
Can CellByDevelopmentStage that is also Neuron be considered a subcategory of 'MioBlast'?, \nFalse
Can CirculatingCell that is also Neuron be considered a subcategory of 'ChondroBlast'?, True
Can CirculatingCell that is also Neuron be considered a subcategory of 'SclerenchymaCell'?, False
Can CirculatingCell that is also Neuron be considered a subcategory of 'LeafCell'?, \nFalse
Can CirculatingCell that is also Neuron be considered a subcategory of 'Erythrocyte'?, \nFalse
Can CirculatingCell that is also Neuron be considered a subcategory of 'PlantCell'?, \nFalse
Can CirculatingCell that is also Neuron be considered a subcategory of 'CellByClass'?, \nFalse
Can CirculatingCell that is also Neuron be considered a subcategory of 'MatureCell'?, True
Can CirculatingCell be considered a subcategory of 'MatureCell'?, True
Can CirculatingCell be considered a subcategory of 'LeafCell'?, \nFalse
Can CirculatingCell be considered a subcategory of 'Erythrocyte'?, True
Can CirculatingCell be considered a subcategory of 'Erythrocyte that is also MatureCell'?, False
Can CirculatingCell be considered a subcategory of 'PhotosyntheticCell'?, True
Can CirculatingCell be considered a subcategory of 'MatureCell that is also PhotosyntheticCell'?, \nFalse
Can CirculatingCell be considered a subcategory of 'PlantCell'?, True
Can CirculatingCell be considered a subcategory of 'MatureCell that is also PlantCell'?, False
Can CirculatingCell be considered a subcategory of 'AnimalCell'?, \nFalse
Can CirculatingCell be considered a subcategory of 'Cell'?, True
Can CirculatingCell be considered a subcategory of 'Cell that is also MatureCell'?, \nFalse
Can CirculatingCell be considered a subcategory of 'Miocyte'?, \nFalse
Can CirculatingCell be considered a subcategory of 'InMatureCell'?, True
Can CirculatingCell be considered a subcategory of 'InMatureCell that is also MatureCell'?, \nFalse
Can CirculatingCell be considered a subcategory of 'Osteocyte'?, \nFalse
Can CirculatingCell be considered a subcategory of 'ChondroBlast'?, \nFalse
Can CirculatingCell be considered a subcategory of 'MioBlast'?, \nFalse
Can CirculatingCell be considered a subcategory of 'CellByDevelopmentStage'?, True
Can CirculatingCell be considered a subcategory of 'CellByDevelopmentStage that is also MatureCell'?, \nFalse
Can CirculatingCell be considered a subcategory of 'PhotoreceptorCell'?, \nFalse
Can CirculatingCell be considered a subcategory of 'CellByOrganism'?, True
Can CirculatingCell be considered a subcategory of 'CellByOrganism that is also MatureCell'?, \nFalse
Can CirculatingCell be considered a subcategory of 'ElectricallyActiveCell'?, \nFalse
Can CirculatingCell be considered a subcategory of 'StructuralCell'?, True
Can CirculatingCell be considered a subcategory of 'MatureCell that is also StructuralCell'?, True
Can CirculatingCell be considered a subcategory of 'Neuron'?, \nFalse
Can CirculatingCell be considered a subcategory of 'ChondroCyte'?, \nFalse
Can CirculatingCell be considered a subcategory of 'Erythrocyte that is also MatureCell that is also StructuralCell'?, True
Can CirculatingCell be considered a subcategory of 'Erythrocyte that is also MatureCell that is also PhotosyntheticCell that is also StructuralCell'?, True
Can CirculatingCell be considered a subcategory of 'Erythrocyte that is also MatureCell that is also PhotosyntheticCell that is also PlantCell that is also StructuralCell'?, False
Can CirculatingCell be considered a subcategory of 'Cell that is also Erythrocyte that is also MatureCell that is also PhotosyntheticCell that is also StructuralCell'?, True
Can CirculatingCell be considered a subcategory of 'Cell that is also Erythrocyte that is also InMatureCell that is also MatureCell that is also PhotosyntheticCell that is also StructuralCell'?, \nFalse
Can CirculatingCell be considered a subcategory of 'Cell that is also CellByDevelopmentStage that is also Erythrocyte that is also MatureCell that is also PhotosyntheticCell that is also StructuralCell'?, False
Can CirculatingCell be considered a subcategory of 'Cell that is also CellByOrganism that is also Erythrocyte that is also MatureCell that is also PhotosyntheticCell that is also StructuralCell'?, True
